CustomerID,LastPurchase,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment
12405,2011-07-14 08:52:00,1,1710.39,147,2,1,4,214,Others
12406,2011-11-17 19:22:00,2,3415.3,21,4,2,5,425,Others
12407,2011-10-21 10:11:00,5,1708.12,48,3,4,4,344,Others
12408,2011-11-07 12:27:00,5,2888.55,31,4,4,5,445,Others
12409,2011-09-22 10:38:00,3,11072.67,77,2,3,5,235,Others
12410,2011-02-04 10:39:00,2,693.33,307,1,2,3,123,Others
12412,2011-09-26 10:16:00,3,1226.88,73,2,3,4,234,Others
12413,2011-10-04 09:00:00,3,758.1,65,3,3,3,333,Others
12414,2011-05-06 14:51:00,3,562.4100000000001,216,1,3,3,133,Others
12415,2011-11-15 14:22:00,21,124914.53,23,4,5,5,455,Others
12417,2011-12-06 14:52:00,9,3649.1,2,5,5,5,555,High-Value
12418,2011-08-19 11:08:00,1,668.58,111,2,1,3,213,Others
12420,2011-10-07 08:55:00,1,600.39,62,3,1,3,313,Others
12421,2011-11-24 09:07:00,4,807.04,14,4,4,3,443,Others
12422,2011-09-05 09:48:00,3,803.5600000000001,94,2,3,3,233,Others
12423,2011-12-09 10:10:00,8,1859.31,-1,5,5,4,554,Loyal
12424,2011-06-30 12:06:00,2,1760.96,161,2,2,4,224,Others
12425,2011-09-22 17:31:00,1,777.2,77,2,1,3,213,Others
12426,2011-05-29 12:26:00,1,582.73,193,1,1,3,113,Others
12427,2011-11-18 08:56:00,3,825.8000000000001,20,4,3,3,433,Others
12428,2011-11-14 08:22:00,9,7956.46,24,4,5,5,455,Others
12429,2011-11-30 17:22:00,4,3750.4,8,5,4,5,545,Others
12430,2011-10-27 15:09:00,1,256.4,42,3,1,2,312,Others
12431,2011-11-04 11:55:00,15,6419.95,34,3,5,5,355,Others
12432,2011-10-28 11:43:00,5,5059.32,41,3,4,5,345,Others
12433,2011-12-09 10:02:00,7,13375.87,-1,5,5,5,555,High-Value
12434,2011-09-16 12:38:00,2,806.14,83,2,2,3,223,Others
12435,2011-09-21 09:06:00,2,7829.89,78,2,2,5,225,Others
12436,2011-09-01 12:09:00,1,509.01,98,2,1,3,213,Others
12437,2011-12-08 11:35:00,18,4951.41,0,5,5,5,555,High-Value
12438,2011-11-25 13:28:00,2,2906.85,13,4,2,5,425,Others
12441,2010-12-08 10:45:00,1,173.55,365,1,1,1,111,At-Risk
12442,2011-12-06 14:22:00,1,172.06,2,5,1,1,511,Others
12444,2011-11-18 13:23:00,5,5005.46,20,4,4,5,445,Others
12445,2011-11-17 18:43:00,1,133.4,21,4,1,1,411,Others
12446,2011-10-13 12:50:00,1,1002.3100000000001,56,3,1,4,314,Others
12447,2011-04-10 13:25:00,1,476.49,242,1,1,2,112,At-Risk
12448,2011-10-26 13:46:00,1,449.45,43,3,1,2,312,Others
12449,2011-11-17 13:46:00,4,4067.29,21,4,4,5,445,Others
12450,2011-07-06 14:41:00,2,197.88,155,2,2,1,221,Others
12451,2011-11-29 08:40:00,5,9035.52,9,5,4,5,545,Others
12452,2011-11-23 10:28:00,2,430.57000000000005,15,4,2,2,422,Others
12453,2011-07-28 14:08:00,1,707.09,133,2,1,3,213,Others
12454,2011-10-14 17:13:00,1,3528.34,55,3,1,5,315,Others
12455,2011-09-27 15:31:00,6,2466.86,72,2,4,5,245,Others
12456,2011-10-26 14:41:00,3,3181.04,43,3,3,5,335,Others
12457,2011-10-04 13:13:00,7,2363.23,65,3,5,5,355,Others
12458,2011-09-29 15:25:00,2,947.4,70,3,2,4,324,Others
12461,2011-09-06 16:57:00,2,826.88,93,2,2,3,223,Others
12462,2011-11-21 09:11:00,2,1189.59,17,4,2,4,424,Others
12463,2011-10-17 13:44:00,4,1344.78,52,3,4,4,344,Others
12464,2011-11-29 13:33:00,8,1212.05,9,5,5,4,554,Loyal
12465,2011-11-22 16:34:00,2,742.19,16,4,2,3,423,Others
12468,2011-06-05 11:36:00,2,729.54,186,1,2,3,123,Others
12471,2011-12-07 15:43:00,30,19788.65,1,5,5,5,555,High-Value
12472,2011-11-07 14:01:00,7,6572.11,31,4,5,5,455,Others
12473,2011-11-10 13:46:00,5,3928.05,28,4,4,5,445,Others
12474,2011-11-22 14:39:00,18,7324.09,16,4,5,5,455,Others
12475,2011-10-17 10:10:00,1,723.38,52,3,1,3,313,Others
12476,2011-11-24 12:40:00,11,6816.42,14,4,5,5,455,Others
12477,2011-11-17 09:51:00,6,13219.74,21,4,4,5,445,Others
12478,2011-12-06 09:56:00,1,680.99,2,5,1,3,513,Others
12479,2011-11-28 13:26:00,1,527.2,10,5,1,3,513,Others
12480,2011-11-11 14:52:00,4,3281.63,27,4,4,5,445,Others
12481,2011-11-17 08:29:00,10,5579.82,21,4,5,5,455,Others
12483,2011-11-22 17:02:00,8,2484.98,16,4,5,5,455,Others
12484,2011-11-07 11:37:00,6,4527.32,31,4,4,5,445,Others
12488,2011-11-30 08:50:00,3,1298.66,8,5,3,4,534,Others
12489,2011-01-07 13:13:00,1,334.93,335,1,1,2,112,At-Risk
12490,2011-12-04 16:07:00,10,5417.93,4,5,5,5,555,High-Value
12491,2011-11-01 12:18:00,1,460.40000000000003,37,3,1,2,312,Others
12492,2011-10-07 15:15:00,2,263.21000000000004,62,3,2,2,322,Others
12493,2011-06-27 10:17:00,2,433.74,164,2,2,2,222,Others
12494,2011-11-24 09:34:00,7,1246.1,14,4,5,4,454,Others
12497,2011-09-19 12:29:00,1,1043.1,80,2,1,4,214,Others
12498,2011-11-18 12:53:00,3,403.70000000000005,20,4,3,2,432,Others
12500,2011-11-16 16:20:00,11,4257.82,22,4,5,5,455,Others
12501,2011-01-07 12:28:00,1,2169.39,335,1,1,5,115,Others
12502,2011-09-05 11:52:00,5,3723.87,94,2,4,5,245,Others
12504,2011-11-21 16:02:00,2,482.04999999999995,17,4,2,2,422,Others
12506,2011-04-21 08:54:00,1,73.5,231,1,1,1,111,At-Risk
12507,2011-07-28 17:09:00,3,1304.81,133,2,3,4,234,Others
12508,2011-11-13 15:37:00,2,397.88,25,4,2,2,422,Others
12509,2011-02-28 14:45:00,1,176.5,283,1,1,1,111,At-Risk
12510,2011-07-20 10:15:00,2,982.5699999999999,141,2,2,4,224,Others
12512,2011-10-04 14:55:00,2,132.18,65,3,2,1,321,Others
12513,2011-08-19 10:51:00,1,612.29,111,2,1,3,213,Others
12514,2011-03-17 16:38:00,1,1017.6800000000001,266,1,1,4,114,Others
12515,2010-12-21 15:43:00,1,383.7,352,1,1,2,112,At-Risk
12516,2011-09-23 09:13:00,2,1312.06,76,2,2,4,224,Others
12517,2011-11-11 14:04:00,5,2481.6,27,4,4,5,445,Others
12518,2011-12-09 10:13:00,5,2056.89,-1,5,4,5,545,Others
12519,2011-10-07 09:26:00,1,330.84000000000003,62,3,1,2,312,Others
12520,2011-09-21 15:23:00,5,2634.26,78,2,4,5,245,Others
12521,2011-07-20 10:51:00,1,599.68,141,2,1,3,213,Others
12522,2011-10-31 15:30:00,2,192.72,38,3,2,1,321,Others
12523,2011-11-20 12:55:00,11,1789.77,18,4,5,4,454,Others
12524,2011-11-30 15:31:00,8,4485.72,8,5,5,5,555,High-Value
12526,2011-12-09 12:09:00,3,1316.66,-1,5,3,4,534,Others
12527,2011-09-19 11:55:00,3,348.71000000000004,80,2,3,2,232,Others
12528,2011-11-30 14:40:00,6,1933.48,8,5,5,4,554,Loyal
12530,2011-10-11 12:34:00,4,1662.28,58,3,4,4,344,Others
12531,2011-11-25 11:12:00,1,125.22,13,4,1,1,411,Others
12532,2011-11-09 13:47:00,1,349.83000000000004,29,4,1,2,412,Others
12534,2011-08-01 10:26:00,1,1089.18,129,2,1,4,214,Others
12535,2011-09-09 08:48:00,2,716.35,90,2,2,3,223,Others
12536,2011-10-27 14:20:00,3,12601.830000000002,42,3,3,5,335,Others
12538,2011-11-10 17:16:00,1,363.95,28,4,1,2,412,Others
12539,2011-11-17 13:30:00,4,5568.35,21,4,4,5,445,Others
12540,2011-11-20 11:31:00,17,13400.24,18,4,5,5,455,Others
12541,2011-11-10 10:40:00,3,981.18,28,4,3,4,434,Others
12544,2011-11-03 16:15:00,1,372.7,35,3,1,2,312,Others
12545,2011-09-25 13:39:00,2,1000.39,74,2,2,4,224,Others
12546,2011-10-24 12:09:00,2,1161.5,45,3,2,4,324,Others
12547,2011-05-26 12:38:00,2,207.8,196,1,2,1,121,At-Risk
12548,2011-06-26 15:35:00,1,95.19999999999999,165,2,1,1,211,At-Risk
12550,2011-09-21 14:35:00,1,964.83,78,2,1,4,214,Others
12551,2010-12-17 11:23:00,1,168.0,356,1,1,1,111,At-Risk
12552,2011-11-01 10:02:00,2,437.82,37,3,2,2,322,Others
12553,2011-12-01 16:38:00,10,3692.28,7,5,5,5,555,High-Value
12556,2011-10-20 13:06:00,2,599.56,49,3,2,3,323,Others
12557,2011-11-23 16:59:00,5,11990.960000000001,15,4,4,5,445,Others
12558,2011-12-02 10:41:00,1,269.96,6,5,1,2,512,Others
12559,2011-02-02 09:49:00,2,561.71,309,1,2,3,123,Others
12560,2011-12-04 13:54:00,3,2134.01,4,5,3,5,535,Others
12561,2011-02-10 11:39:00,1,238.85,301,1,1,1,111,At-Risk
12562,2011-12-01 17:20:00,7,3781.7400000000002,7,5,5,5,555,High-Value
12564,2011-03-23 14:55:00,1,456.90000000000003,260,1,1,2,112,At-Risk
12565,2011-02-24 10:34:00,1,145.92000000000002,287,1,1,1,111,At-Risk
12566,2011-09-14 14:30:00,1,351.65,85,2,1,2,212,Others
12567,2011-11-17 11:02:00,10,9401.28,21,4,5,5,455,Others
12569,2011-12-07 16:24:00,32,4124.6900000000005,1,5,5,5,555,High-Value
12571,2011-10-31 10:19:00,2,519.61,38,3,2,3,323,Others
12572,2011-12-01 09:20:00,2,1020.4200000000001,7,5,2,4,524,Others
12573,2011-04-26 15:52:00,1,160.54000000000002,226,1,1,1,111,At-Risk
12574,2011-01-28 09:20:00,1,218.45000000000002,314,1,1,1,111,At-Risk
12576,2011-11-04 10:11:00,5,1315.83,34,3,4,4,344,Others
12577,2011-11-04 13:24:00,3,626.6,34,3,3,3,333,Others
12578,2011-11-18 13:30:00,2,2794.51,20,4,2,5,425,Others
12579,2011-09-22 17:15:00,1,440.42,77,2,1,2,212,Others
12580,2011-04-07 10:24:00,1,415.7,245,1,1,2,112,At-Risk
12581,2011-10-31 08:56:00,1,197.71,38,3,1,1,311,Others
12582,2011-04-15 08:45:00,2,511.36,237,1,2,3,123,Others
12583,2011-12-07 08:07:00,15,7281.38,1,5,5,5,555,High-Value
12584,2011-12-06 09:35:00,9,2338.15,2,5,5,5,555,High-Value
12585,2011-04-19 13:39:00,2,2040.1,233,1,2,4,124,Others
12586,2011-11-22 16:24:00,1,196.94000000000003,16,4,1,1,411,Others
12587,2011-12-02 12:47:00,1,144.0,6,5,1,1,511,Others
12588,2011-10-31 15:01:00,1,214.89999999999998,38,3,1,1,311,Others
12589,2011-11-11 10:19:00,2,646.68,27,4,2,3,423,Others
12590,2011-05-12 14:52:00,2,9864.26,210,1,2,5,125,Others
12591,2011-01-26 14:35:00,1,452.84999999999997,316,1,1,2,112,At-Risk
12592,2011-09-08 15:04:00,2,437.6,91,2,2,2,222,Others
12593,2011-08-23 12:43:00,3,418.1,107,2,3,2,232,Others
12594,2011-11-02 12:20:00,10,3338.2200000000003,36,3,5,5,355,Others
12596,2011-10-19 13:02:00,2,618.27,50,3,2,3,323,Others
12597,2011-11-20 13:33:00,4,3811.22,18,4,4,5,445,Others
12598,2011-11-30 12:18:00,8,3023.08,8,5,5,5,555,High-Value
12599,2011-11-10 13:34:00,7,1032.58,28,4,5,4,454,Others
12600,2011-11-11 10:29:00,10,2599.04,27,4,5,5,455,Others
12601,2011-06-03 10:17:00,5,577.0600000000001,188,1,4,3,143,Others
12602,2011-10-12 11:22:00,1,153.12,57,3,1,1,311,Others
12603,2011-11-18 10:42:00,1,739.1999999999999,20,4,1,3,413,Others
12604,2011-09-21 14:08:00,2,254.18,78,2,2,2,222,Others
12607,2011-10-10 16:06:00,1,1579.51,59,3,1,4,314,Others
12609,2011-09-22 16:34:00,3,1126.85,77,2,3,4,234,Others
12610,2011-11-17 09:34:00,5,2099.54,21,4,4,5,445,Others
12611,2011-10-18 13:12:00,1,1193.32,51,3,1,4,314,Others
12612,2011-09-26 15:35:00,1,704.04,73,2,1,3,213,Others
12613,2011-10-13 14:59:00,5,3344.38,56,3,4,5,345,Others
12614,2011-03-07 10:22:00,1,315.6,276,1,1,2,112,At-Risk
12615,2011-12-07 15:02:00,4,2291.19,1,5,4,5,545,Others
12616,2011-09-05 15:17:00,2,713.3,94,2,2,3,223,Others
12617,2011-11-10 14:39:00,1,352.98,28,4,1,2,412,Others
12618,2011-11-18 11:10:00,1,177.31,20,4,1,1,411,Others
12619,2011-11-23 14:52:00,9,3641.24,15,4,5,5,455,Others
12620,2011-11-25 10:20:00,3,1339.41,13,4,3,4,434,Others
12621,2011-12-08 11:25:00,20,13689.67,0,5,5,5,555,High-Value
12622,2011-04-21 16:39:00,1,180.1,231,1,1,1,111,At-Risk
12623,2011-03-08 13:50:00,1,305.1,275,1,1,2,112,At-Risk
12624,2011-08-25 15:04:00,2,641.13,105,2,2,3,223,Others
12625,2011-05-12 09:54:00,2,2683.82,210,1,2,5,125,Others
12626,2011-11-16 16:06:00,9,6620.4800000000005,22,4,5,5,455,Others
12627,2011-11-29 12:07:00,7,4478.53,9,5,5,5,555,High-Value
12628,2011-12-05 13:15:00,3,786.46,3,5,3,3,533,Others
12630,2011-11-30 10:48:00,2,1270.88,8,5,2,4,524,Others
12631,2011-10-13 13:53:00,1,640.5,56,3,1,3,313,Others
12633,2011-10-12 11:40:00,4,2163.98,57,3,4,5,345,Others
12635,2011-09-11 11:04:00,2,1689.18,88,2,2,4,224,Others
12637,2011-10-03 13:46:00,8,6002.9,66,3,5,5,355,Others
12638,2011-11-06 13:11:00,1,671.69,32,3,1,3,313,Others
12639,2011-04-15 12:48:00,1,486.1,237,1,1,2,112,At-Risk
12640,2011-11-16 11:52:00,3,1174.58,22,4,3,4,434,Others
12641,2011-08-16 13:26:00,1,185.9,114,2,1,1,211,At-Risk
12642,2011-11-14 15:03:00,3,1013.26,24,4,3,4,434,Others
12643,2011-08-03 12:56:00,6,3344.64,127,2,5,5,255,Others
12644,2011-08-02 10:33:00,1,477.90999999999997,128,2,1,2,212,Others
12645,2011-11-06 12:38:00,4,1775.18,32,3,4,4,344,Others
12646,2011-12-05 10:14:00,2,1346.97,3,5,2,4,524,Others
12647,2011-11-17 12:56:00,12,3722.82,21,4,5,5,455,Others
12648,2011-07-08 11:55:00,1,318.05,153,2,1,2,212,Others
12649,2011-08-24 14:41:00,3,623.51,106,2,3,3,233,Others
12650,2011-12-06 16:34:00,1,314.44,2,5,1,2,512,Others
12651,2011-01-09 12:46:00,1,114.0,333,1,1,1,111,At-Risk
12652,2011-01-12 15:00:00,1,919.98,330,1,1,3,113,Others
12653,2011-07-14 10:41:00,2,2209.85,147,2,2,5,225,Others
12654,2011-11-29 10:10:00,5,601.98,9,5,4,3,543,Loyal
12656,2011-11-22 13:42:00,5,4051.17,16,4,4,5,445,Others
12657,2011-11-28 15:47:00,4,1643.18,10,5,4,4,544,Loyal
12658,2011-11-21 10:22:00,1,686.05,17,4,1,3,413,Others
12659,2011-11-10 11:53:00,1,91.68,28,4,1,1,411,Others
12660,2011-11-28 13:26:00,1,245.10000000000002,10,5,1,1,511,Others
12662,2011-12-09 11:59:00,11,3849.78,-1,5,5,5,555,High-Value
12664,2011-12-01 17:07:00,9,4881.88,7,5,5,5,555,High-Value
12665,2011-01-19 08:34:00,1,63.0,323,1,1,1,111,At-Risk
12667,2011-10-12 17:00:00,1,620.13,57,3,1,3,313,Others
12668,2011-11-28 10:56:00,4,3807.15,10,5,4,5,545,Others
12669,2011-07-12 09:54:00,3,2744.0299999999997,149,2,3,5,235,Others
12670,2011-11-29 15:23:00,5,2996.05,9,5,4,5,545,Others
12672,2011-01-14 09:20:00,1,225.9,328,1,1,1,111,At-Risk
12673,2011-12-04 13:55:00,2,610.52,4,5,2,3,523,Others
12674,2011-11-01 12:12:00,4,1970.6,37,3,4,4,344,Others
12676,2011-11-15 12:25:00,6,1331.39,23,4,5,4,454,Others
12678,2011-10-28 13:04:00,12,17628.46,41,3,5,5,355,Others
12679,2011-10-12 12:30:00,4,1113.02,57,3,4,4,344,Others
12680,2011-12-09 12:50:00,4,862.81,-1,5,4,3,543,Loyal
12681,2011-11-25 11:33:00,22,13787.54,13,4,5,5,455,Others
12682,2011-12-06 10:00:00,31,12279.82,2,5,5,5,555,High-Value
12683,2011-12-05 16:31:00,15,8476.57,3,5,5,5,555,High-Value
12684,2011-12-02 09:53:00,7,2283.63,6,5,5,5,555,High-Value
12685,2011-11-11 13:46:00,6,2863.08,27,4,5,5,455,Others
12686,2010-12-03 09:51:00,1,89.14,370,1,1,1,111,At-Risk
12688,2011-08-18 08:49:00,1,4873.81,112,2,1,5,215,Others
12689,2011-11-14 08:31:00,2,1247.6100000000001,24,4,2,4,424,Others
12690,2011-05-18 09:09:00,1,389.01,204,1,1,2,112,At-Risk
12691,2011-11-11 16:49:00,6,1035.8,27,4,5,4,454,Others
12693,2011-08-04 17:51:00,4,855.91,126,2,4,3,243,Others
12694,2011-09-30 13:06:00,2,869.67,69,3,2,3,323,Others
12695,2011-12-02 13:22:00,4,582.1,6,5,4,3,543,Loyal
12697,2011-11-11 08:47:00,3,957.59,27,4,3,4,434,Others
12700,2011-12-02 10:47:00,4,4939.99,6,5,4,5,545,Others
12701,2011-09-21 10:47:00,2,797.71,78,2,2,3,223,Others
12702,2011-11-20 10:36:00,1,219.0,18,4,1,1,411,Others
12703,2011-09-29 17:52:00,1,283.55,70,3,1,2,312,Others
12704,2011-12-02 13:15:00,8,2340.84,6,5,5,5,555,High-Value
12705,2011-11-24 13:17:00,9,6868.29,14,4,5,5,455,Others
12707,2011-02-21 08:38:00,1,603.42,290,1,1,3,113,Others
12708,2011-11-10 09:52:00,10,2712.91,28,4,5,5,455,Others
12709,2011-11-24 15:38:00,15,9706.52,14,4,5,5,455,Others
12710,2011-09-04 12:00:00,3,1149.02,95,2,3,4,234,Others
12712,2011-11-11 08:19:00,13,4396.13,27,4,5,5,455,Others
12713,2011-12-09 12:16:00,1,848.55,-1,5,1,3,513,Others
12714,2011-11-30 15:43:00,5,4708.86,8,5,4,5,545,Others
12715,2011-08-25 15:22:00,1,343.36,105,2,1,2,212,Others
12716,2011-12-06 08:55:00,2,1053.49,2,5,2,4,524,Others
12717,2011-07-11 14:47:00,2,1030.98,150,2,2,4,224,Others
12718,2011-09-29 16:38:00,1,238.25,70,3,1,1,311,Others
12719,2011-12-04 13:45:00,2,644.95,4,5,2,3,523,Others
12720,2011-12-07 08:03:00,25,5781.7300000000005,1,5,5,5,555,High-Value
12721,2011-11-08 12:13:00,6,2656.13,30,4,5,5,455,Others
12722,2011-09-15 14:50:00,4,997.63,84,2,4,4,244,Others
12723,2011-12-06 10:19:00,5,725.07,2,5,4,3,543,Loyal
12724,2011-12-04 16:02:00,4,1031.41,4,5,4,4,544,Loyal
12725,2010-12-03 15:45:00,1,427.8,370,1,1,2,112,At-Risk
12726,2011-11-11 13:35:00,7,2609.1,27,4,5,5,455,Others
12727,2011-11-29 11:46:00,7,3980.7000000000003,9,5,5,5,555,High-Value
12728,2011-09-29 15:31:00,4,836.33,70,3,4,3,343,Others
12729,2011-08-18 11:40:00,1,453.01,112,2,1,2,212,Others
12731,2011-11-16 11:59:00,12,18895.91,22,4,5,5,455,Others
12732,2011-06-13 11:33:00,1,236.26000000000002,178,2,1,1,211,At-Risk
12733,2011-04-19 16:19:00,1,383.95,233,1,1,2,112,At-Risk
12734,2010-12-22 12:47:00,1,110.39999999999999,351,1,1,1,111,At-Risk
12735,2011-01-28 13:37:00,2,779.5699999999999,314,1,2,3,123,Others
12736,2011-01-11 07:57:00,1,234.0,331,1,1,1,111,At-Risk
12738,2010-12-02 18:27:00,1,155.35,371,1,1,1,111,At-Risk
12739,2011-09-22 13:00:00,2,1013.04,77,2,2,4,224,Others
12740,2011-10-07 10:44:00,1,427.6,62,3,1,2,312,Others
12743,2011-07-28 16:21:00,2,540.13,133,2,2,3,223,Others
12744,2011-10-19 11:18:00,7,21279.29,50,3,5,5,355,Others
12747,2011-12-07 14:34:00,11,4196.01,1,5,5,5,555,High-Value
12748,2011-12-09 12:20:00,209,33053.19,-1,5,5,5,555,High-Value
12749,2011-12-06 09:56:00,5,4090.88,2,5,4,5,545,Others
12750,2011-08-03 09:13:00,1,275.88,127,2,1,2,212,Others
12752,2011-09-19 13:32:00,1,4366.78,80,2,1,5,215,Others
12753,2011-11-17 10:52:00,6,21429.39,21,4,5,5,455,Others
12754,2011-04-18 09:00:00,3,3010.74,234,1,3,5,135,Others
12755,2011-03-04 12:42:00,2,3811.9500000000003,279,1,2,5,125,Others
12756,2011-09-14 09:31:00,1,112.08,85,2,1,1,211,At-Risk
12757,2011-11-24 12:30:00,13,7834.650000000001,14,4,5,5,455,Others
12758,2011-08-15 10:22:00,2,2791.59,115,2,2,5,225,Others
12759,2011-10-18 14:49:00,3,1531.44,51,3,3,4,334,Others
12762,2011-12-02 10:23:00,2,1898.52,6,5,2,4,524,Others
12763,2011-07-24 14:12:00,2,494.08,137,2,2,3,223,Others
12764,2011-01-27 10:19:00,1,1693.88,315,1,1,4,114,Others
12766,2011-12-06 08:46:00,7,6989.63,2,5,5,5,555,High-Value
12769,2011-04-15 10:25:00,1,1143.6,237,1,1,4,114,Others
12770,2011-05-13 09:33:00,1,1351.45,209,1,1,4,114,Others
12772,2011-10-11 09:19:00,1,892.47,58,3,1,3,313,Others
12775,2011-11-22 16:33:00,5,1386.04,16,4,4,4,444,Others
12778,2011-11-20 11:30:00,6,822.23,18,4,5,3,453,Others
12779,2011-11-02 11:43:00,8,3981.36,36,3,5,5,355,Others
12781,2011-10-07 10:37:00,2,826.74,62,3,2,3,323,Others
12782,2011-12-05 09:16:00,5,2330.92,3,5,4,5,545,Others
12783,2011-12-07 15:56:00,6,2225.91,1,5,5,5,555,High-Value
12784,2011-11-30 15:38:00,2,532.82,8,5,2,3,523,Others
12785,2010-12-10 13:48:00,1,311.95,363,1,1,2,112,At-Risk
12787,2011-11-30 08:44:00,3,463.66,8,5,3,2,532,Others
12789,2011-10-05 13:34:00,1,91.85,64,3,1,1,311,Others
12790,2011-05-31 14:14:00,1,324.92,191,1,1,2,112,At-Risk
12791,2010-12-01 11:27:00,1,192.60000000000002,372,1,1,1,111,At-Risk
12792,2011-03-28 11:36:00,1,400.54,255,1,1,2,112,At-Risk
12793,2011-01-09 12:12:00,2,545.48,333,1,2,3,123,Others
12794,2011-10-17 14:54:00,2,860.41,52,3,2,3,323,Others
12795,2011-11-21 10:27:00,1,430.48,17,4,1,2,412,Others
12797,2010-12-09 10:55:00,1,254.03,364,1,1,2,112,At-Risk
12798,2011-11-29 15:52:00,3,6977.04,9,5,3,5,535,Others
12802,2011-06-06 09:36:00,1,427.58,185,1,1,2,112,At-Risk
12808,2011-11-03 10:05:00,3,483.65000000000003,35,3,3,2,332,Others
12809,2011-06-15 10:51:00,1,489.31,176,2,1,3,213,Others
12811,2011-03-24 09:42:00,3,514.85,259,1,3,3,133,Others
12812,2011-10-26 09:54:00,1,229.64000000000001,43,3,1,1,311,Others
12814,2011-08-30 12:11:00,1,125.92,100,2,1,1,211,At-Risk
12815,2011-07-15 10:21:00,2,1063.46,146,2,2,4,224,Others
12816,2011-09-05 12:41:00,2,572.2,94,2,2,3,223,Others
12817,2011-03-03 16:28:00,1,166.04000000000002,280,1,1,1,111,At-Risk
12818,2011-03-23 12:06:00,1,1542.08,260,1,1,4,114,Others
12820,2011-12-06 15:12:00,4,942.34,2,5,4,4,544,Loyal
12821,2011-05-09 15:51:00,1,92.72,213,1,1,1,111,At-Risk
12822,2011-09-30 10:04:00,2,948.88,69,3,2,4,324,Others
12823,2011-09-26 07:35:00,5,1759.5,73,2,4,4,244,Others
12824,2011-10-11 12:49:00,1,397.12,58,3,1,2,312,Others
12826,2011-12-07 10:25:00,7,1474.72,1,5,5,4,554,Loyal
